state,date,new_confirmed,new_deaths,estimated_population_2019,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_death_rate,epidemiological_week
SE,2020-06-17,497,19,2298696,16807,731.15366,0.0228,25
SP,2020-06-17,1232,389,45919049,191517,417.07528,0.0602,25
TO,2020-06-17,201,3,1572866,7774,494.25698,0.0196,25
AC,2020-06-18,325,6,881935,10664,1209.15941,0.0269,25
AL,2020-06-18,766,20,3337357,25633,768.06287,0.0324,25
AM,2020-06-18,789,26,4144597,60336,1455.77483,0.0432,25
AP,2020-06-18,769,4,845731,19387,2292.33645,0.0176,25
BA,2020-06-18,651,41,14873064,41577,279.54563,0.0304,25
CE,2020-06-18,2526,86,9132078,88132,965.08155,0.0612,25
DF,2020-06-18,1381,14,3015268,28521,945.88607,0.0133,25
ES,2020-06-18,1265,44,4018650,31772,790.61376,0.0385,25
GO,2020-06-18,889,20,7018354,13665,194.70377,0.0201,25
MA,2020-06-18,1356,37,7075181,66091,934.12451,0.0243,25
MG,2020-06-18,1559,33,21168791,24906,117.65433,0.0229,25
MS,2020-06-18,392,1,2778986,4666,167.90297,0.0086,25
